OBJECTID,ASSETID,LIFECYCLESTATUS,SERVICEAREA,STATICPRESSURE,LATITUDE,LONGITUDE,NEIGHBORHOOD
514,1403237,AC,EH,174,39.1642636302114,-84.4717399833005,NORTH AVONDALE - PADDOCK HILLS
515,325147,AC,WH,65,39.2583042176317,-84.5793601768787,N/A
516,328053,AB,WH,94,39.2333990344303,-84.5612605362192,N/A
517,365581,AC,WH,74,39.2887566764544,-84.5452277681809,N/A
518,327737,AC,BR,88,39.2397531057902,-84.3509527279692,N/A
519,327027,AC,EH,163,39.244007122341,-84.4691359114085,N/A
520,337256,AC,EH,151,39.1598282130806,-84.3831747236207,MADISONVILLE
521,336467,AC,WH,43,39.1629380350284,-84.6070586838406,N/A
522,341723,AC,EH,78,39.1300864246027,-84.4159216089437,MT. LOOKOUT
523,344344,AB,CE,60,39.1117205355454,-84.5161428083757,OVER-THE-RHINE
524,1412600,AC,EH,118,39.1450507144008,-84.4436720171842,N/A
525,370080,AC,WH,62,39.1263676030123,-84.6071635647709,N/A
526,559217,AC,EH,104,39.1462498600436,-84.4696954818094,EVANSTON
527,484539,AC,EH,161,39.2168526416059,-84.4783412340743,N/A
528,325562,AC,WH,108,39.252966181574,-84.6518522649833,N/A
529,346572,AC,CE,78,39.093026366313,-84.6485164391583,RIVERSIDE
530,324148,AC,BR,69,39.2718774660869,-84.339928878582,N/A
531,334153,AC,BR,71,39.1879342965745,-84.391987103445,N/A
532,322902,AC,BR,62,39.2857595544535,-84.3278823190219,N/A
533,2009949,AC,BR,116,39.2671787388169,-84.3901073668022,N/A
534,536890,AC,WH,58,39.1536707171319,-84.6343284708184,N/A
535,328990,AC,BR,63,39.2278744109934,-84.388578979772,N/A
536,334399,AC,EH,176,39.1835192160013,-84.5182222536317,WINTON HILLS
537,327982,AC,EH,134,39.2364821277249,-84.4254632620692,N/A
538,344504,AC,MW,120,39.1129093012789,-84.3833576158757,N/A
539,376763,AC,MS,90,39.3661600010766,-84.3242406126744,N/A
540,1349080,AC,MN,86,39.3700782141708,-84.2771139820279,N/A
541,326704,AC,EH,166,39.2471243447715,-84.4258832828329,N/A
542,325590,AC,WH,73,39.2541200335953,-84.5784315477643,N/A
543,487596,AC,MN,92,39.3806357833351,-84.2933944963052,N/A
544,328821,AC,WH,86,39.2273336560464,-84.5032835725512,N/A
545,334722,AB,EH,115,39.1812856300269,-84.4386588309848,PLEASANT RIDGE
546,340841,AC,WH,70,39.1331193277426,-84.6126894258666,WESTWOOD
547,371829,AC,EH,82,39.109343685419,-84.4972693249722,MT. ADAMS
548,368335,AC,WH,99,39.1853741261552,-84.6434252970078,N/A
549,322827,AC,BR,72,39.2867896473184,-84.3017740112916,N/A
550,524596,AC,WH,76,39.145589965132,-84.6064753767364,WESTWOOD
551,1369000,AC,EH,152,39.1476817993001,-84.5123273771137,AVONDALE
552,325284,AC,BR,111,39.261405598453,-84.3145918914628,N/A
553,562971,AC,EH,96,39.1399916798462,-84.4205507230586,HYDE PARK
